text,timestamp,compound,sentiment,date
The graphics on Apple Vision Pro are insane! 35,2025-03-02 22:24:36.567292,-0.2481,Negative,2025-03-02
"Too many bugs in Apple Vision Pro, ugh. 99",2025-02-27 23:07:34.414193,-0.2023,Negative,2025-02-27
"Apple Vision Pro setup was easy, loving it. 5",2025-02-26 03:08:57.507040,0.8316,Positive,2025-02-26
Apple Vision Pro is a game changer tech 44,2025-02-27 09:06:34.660638,0.25,Positive,2025-02-27
"Apple Vision Pro setup was easy, loving it. 54",2025-03-02 03:21:41.401922,0.8316,Positive,2025-03-02
"Not impressed with Apple Vision Pro, feels clunky. 20",2025-03-01 12:47:36.867088,-0.1416,Negative,2025-03-01
"Loving the Apple Vision Pro, so futuristic! 14",2025-02-27 01:30:57.973722,0.7345,Positive,2025-02-27
Apple Vision Pro is overpriced garbage. 29,2025-02-27 17:42:49.224553,0.25,Positive,2025-02-27
The graphics on Apple Vision Pro are insane! 34,2025-03-04 03:39:23.281413,-0.2481,Negative,2025-03-04
"Just got my Apple Vision Pro today, meh. 70",2025-03-02 08:29:25.509862,0.1779,Positive,2025-03-02
Apple Vision Pro is a game changer tech 89,2025-02-26 23:27:50.173950,0.25,Positive,2025-02-26
The graphics on Apple Vision Pro are insane! 43,2025-03-02 16:49:21.620906,-0.2481,Negative,2025-03-02
"Loving the Apple Vision Pro, so futuristic! 60",2025-02-26 01:04:31.790524,0.7345,Positive,2025-02-26
"Just got my Apple Vision Pro today, meh. 29",2025-02-27 06:10:00.396500,0.1779,Positive,2025-02-27
"Too many bugs in Apple Vision Pro, ugh. 55",2025-02-26 05:12:47.288876,-0.2023,Negative,2025-02-26
"Apple Vision Pro setup was easy, loving it. 14",2025-02-27 14:04:25.013265,0.8316,Positive,2025-02-27
"Too many bugs in Apple Vision Pro, ugh. 29",2025-02-27 00:13:43.431901,-0.2023,Negative,2025-02-27
"Wow, Apple Vision Pro blew my mind! 2",2025-03-02 09:00:32.427149,0.7263,Positive,2025-03-02
"Just got my Apple Vision Pro today, meh. 68",2025-02-27 01:38:49.584477,0.1779,Positive,2025-02-27
"Not impressed with Apple Vision Pro, feels clunky. 80",2025-03-02 19:01:51.637677,-0.1416,Negative,2025-03-02
The graphics on Apple Vision Pro are insane! 23,2025-03-04 07:34:50.549621,-0.2481,Negative,2025-03-04
"Wow, Apple Vision Pro blew my mind! 1",2025-03-02 20:31:21.612214,0.7263,Positive,2025-03-02
"Just got my Apple Vision Pro today, meh. 61",2025-02-27 02:59:34.789448,0.1779,Positive,2025-02-27
"Not impressed with Apple Vision Pro, feels clunky. 39",2025-03-02 18:24:09.126493,-0.1416,Negative,2025-03-02
Battery life on Apple Vision Pro sucks. 26,2025-03-02 13:12:54.048380,-0.128,Negative,2025-03-02
"Wow, Apple Vision Pro blew my mind! 81",2025-02-28 14:40:55.740680,0.7263,Positive,2025-02-28
"Wow, Apple Vision Pro blew my mind! 82",2025-02-28 04:38:16.643512,0.7263,Positive,2025-02-28
Apple Vision Pro is overpriced garbage. 21,2025-03-01 23:34:43.852411,0.25,Positive,2025-03-01
"Just got my Apple Vision Pro today, meh. 15",2025-03-04 09:31:10.151477,0.1779,Positive,2025-03-04
"Apple Vision Pro setup was easy, loving it. 35",2025-03-04 04:53:40.519424,0.8316,Positive,2025-03-04
"Wow, Apple Vision Pro blew my mind! 53",2025-03-02 18:12:39.158088,0.7263,Positive,2025-03-02
"Loving the Apple Vision Pro, so futuristic! 12",2025-02-26 02:08:47.257556,0.7345,Positive,2025-02-26
The graphics on Apple Vision Pro are insane! 88,2025-02-26 00:27:53.232401,-0.2481,Negative,2025-02-26
Apple Vision Pro is a game changer tech 67,2025-03-04 08:30:40.131322,0.25,Positive,2025-03-04
Apple Vision Pro is a game changer tech 23,2025-03-03 16:51:08.332961,0.25,Positive,2025-03-03
Apple Vision Pro is overpriced garbage. 97,2025-03-01 10:38:02.293212,0.25,Positive,2025-03-01
"Apple Vision Pro setup was easy, loving it. 57",2025-03-03 11:25:02.005053,0.8316,Positive,2025-03-03
Apple Vision Pro is overpriced garbage. 27,2025-02-26 10:59:13.303862,0.25,Positive,2025-02-26
Apple Vision Pro is overpriced garbage. 50,2025-03-04 13:19:22.302612,0.25,Positive,2025-03-04
Apple Vision Pro is overpriced garbage. 95,2025-03-03 03:57:36.183201,0.25,Positive,2025-03-03
"Not impressed with Apple Vision Pro, feels clunky. 97",2025-03-02 10:59:26.498997,-0.1416,Negative,2025-03-02
"Loving the Apple Vision Pro, so futuristic! 35",2025-02-26 17:24:09.222551,0.7345,Positive,2025-02-26
